country_code
AF
AL
DZ
AD
AO
AG
AR
AM
AW
AU
AT
AZ
BS
BH
BD
BB
BY
BE
BZ
BJ
BM
BO
BA
BW
BR
BN
BG
BF
BI
CV
KH
CM
CA
KY
CF
TD
CL
CN
CO
KM
CG
CD
CR
CI
HR
CW
CY
CZ
DK
DJ
DM
DO
EC
EG
SV
GQ
EE
SZ
ET
FO
FJ
FI
FR
GA
GM
GE
DE
GH
GR
GD
GT
GN
GW
GY
HT
HN
HK
HU
IS
IN
ID
IR
IQ
IE
IL
IT
JM
JP
JO
KZ
KE
KI
KR
KW
KG
LA
LV
LS
LR
LY
LT
LU
MO
MG
MW
MY
MV
ML
MT
MH
MR
MU
MX
FM
MD
MN
ME
MA
MZ
MM
NR
NP
NL
NZ
NI
NE
NG
MK
NO
OM
PK
PW
PS
PA
PG
PY
PE
PH
PL
PT
PR
QA
RO
RU
RW
KN
LC
VC
WS
ST
SA
SN
RS
SC
SL
SG
SX
SK
SI
SB
SO
ZA
ES
LK
SD
SR
SE
CH
TJ
TZ
TH
TL
TG
TT
TN
TR
TM
TC
TV
UG
UA
AE
GB
US
UY
UZ
VU
VN
ZM
ZW
